id,date,price,property_id,type,propertytype,street,streetnumber,suburb,flatnumber,postcode,state,bedrooms,bathrooms,carspaces,latitude,longitude,property_id-2,geom,area,streettype
926719,29-07-2016,280000,4943506,sold,House,CHANDLER,23,ACACIA RIDGE,,4110,QLD,4,2,1,-27.58700968,153.0204975,4943506,0101000020E61000002FE364EAA72063401209324446963BC0,510,ST
926720,18-06-2002,128000,4943507,sold,House,CHANDLER,24,ACACIA RIDGE,,4110,QLD,3,1,2,-27.58709187,153.0210734,4943507,0101000020E61000008A000AA2AC206340C1651DA74B963BC0,800,ST
926721,13-05-2022,647000,4943511,sold,House,CHANDLER,7,ACACIA RIDGE,,4110,QLD,3,1,1,-27.58581925,153.0207285,4943511,0101000020E61000009A2CE6CEA9206340041E1840F8953BC0,1007,ST
926722,11-03-2023,580000,4943513,sold,House,CHARDEAN,12,ACACIA RIDGE,,4110,QLD,3,1,2,-27.58863191,153.0261005,4943513,0101000020E61000008AC3A1D0D5206340FFD4B294B0963BC0,673,ST
926723,03-07-2017,385000,4943513,sold,House,CHARDEAN,12,ACACIA RIDGE,,4110,QLD,3,1,2,-27.58863191,153.0261005,4943513,0101000020E61000008AC3A1D0D5206340FFD4B294B0963BC0,673,ST
926724,07-03-2001,65000,4943513,sold,House,CHARDEAN,12,ACACIA RIDGE,,4110,QLD,3,1,2,-27.58863191,153.0261005,4943513,0101000020E61000008AC3A1D0D5206340FFD4B294B0963BC0,673,ST
926725,29-10-2023,650000,4943514,sold,House,CHARDEAN,15,ACACIA RIDGE,,4110,QLD,3,1,1,-27.58805779,153.0257424,4943514,0101000020E6100000B0A8A9E1D2206340423590F48A963BC0,828,ST
926726,11-12-1987,55000,4943514,sold,House,CHARDEAN,15,ACACIA RIDGE,,4110,QLD,3,1,1,-27.58805779,153.0257424,4943514,0101000020E6100000B0A8A9E1D2206340423590F48A963BC0,828,ST
926727,14-03-2015,390000,4943515,sold,House,CHARDEAN,18,ACACIA RIDGE,,4110,QLD,3,1,2,-27.58862181,153.0258129,4943515,0101000020E6100000A3A3A875D32063408EA93FEBAF963BC0,665,ST
926728,17-12-2008,290000,4943515,sold,House,CHARDEAN,18,ACACIA RIDGE,,4110,QLD,3,1,2,-27.58862181,153.0258129,4943515,0101000020E6100000A3A3A875D32063408EA93FEBAF963BC0,665,ST
